k,r,sym,file,loss_pct,trials,t_tcp_ms,t_tcp_fast_ms,t_fec_ms,overhead_pct,busted_blocks,recover_fail
4,1,512,262144,2.0000,400,10934.72,1053.34,1157.14,25.00,0.510,0
4,2,512,262144,2.0000,400,11209.72,1079.84,424.57,50.00,0.030,0
4,3,512,262144,2.0000,400,10979.72,1081.59,417.00,75.00,0.000,0
4,4,512,262144,2.0000,400,11092.22,1053.09,469.43,100.00,0.000,0
8,1,512,262144,2.0000,400,11227.22,1095.22,1925.93,12.50,0.850,0
8,2,512,262144,2.0000,400,11114.72,1035.97,449.64,25.00,0.058,0
8,3,512,262144,2.0000,400,11089.72,1044.34,353.36,37.50,0.005,0
8,4,512,262144,2.0000,400,11174.72,1063.72,364.57,50.00,0.000,0
16,1,512,262144,2.0000,400,10954.72,1078.47,3320.32,6.25,1.472,0
16,2,512,262144,2.0000,400,11157.22,1048.72,818.43,12.50,0.182,0
16,3,512,262144,2.0000,400,11097.22,1115.84,336.54,18.75,0.010,0
16,4,512,262144,2.0000,400,11109.72,1009.09,312.14,25.00,0.000,0
32,1,512,262144,2.0000,400,11122.22,1073.09,5483.77,3.12,2.300,0
32,2,512,262144,2.0000,400,11019.72,1034.59,1727.82,6.25,0.453,0
32,3,512,262144,2.0000,400,11152.22,1049.59,619.38,9.38,0.087,0
32,4,512,262144,2.0000,400,11159.72,1075.22,345.93,12.50,0.013,0
