k,r,sym,file,loss_pct,trials,t_tcp_ms,t_tcp_fast_ms,t_fec_ms,overhead_pct,busted_blocks,recover_fail
8,2,512,262144,0.0000,400,259.72,259.72,312.14,25.00,0.000,0
8,2,512,262144,0.2500,400,1499.72,325.59,317.14,25.00,0.003,0
8,2,512,262144,0.5000,400,2899.72,375.34,312.14,25.00,0.000,0
8,2,512,262144,1.0000,400,5477.22,440.84,357.14,25.00,0.020,0
8,2,512,262144,1.5000,400,8282.22,490.59,357.14,25.00,0.018,0
8,2,512,262144,2.0000,400,11099.72,515.34,467.14,25.00,0.068,0
8,2,512,262144,3.0000,400,16992.22,569.09,739.64,25.00,0.170,0
8,2,512,262144,4.0000,400,22769.72,663.72,1329.64,25.00,0.383,0
8,2,512,262144,5.0000,400,28627.22,669.09,2359.64,25.00,0.745,0
8,2,512,262144,6.0000,400,35007.22,767.47,3779.64,25.00,1.225,0
8,2,512,262144,8.0000,400,49767.22,856.47,8044.64,25.00,2.583,0
8,2,512,262144,10.0000,400,65067.22,941.47,14517.14,25.00,4.442,0
16,3,512,262144,0.0000,400,259.72,259.72,299.04,18.75,0.000,0
16,3,512,262144,0.2500,400,1609.72,331.09,299.04,18.75,0.000,0
16,3,512,262144,0.5000,400,2964.72,389.09,299.04,18.75,0.000,0
16,3,512,262144,1.0000,400,5472.22,444.72,304.04,18.75,0.003,0
16,3,512,262144,1.5000,400,8124.72,486.84,331.54,18.75,0.007,0
16,3,512,262144,2.0000,400,11127.22,505.47,346.54,18.75,0.015,0
16,3,512,262144,3.0000,400,16682.22,598.84,561.54,18.75,0.075,0
16,3,512,262144,4.0000,400,22554.72,643.09,991.54,18.75,0.182,0
16,3,512,262144,5.0000,400,28749.72,695.84,1891.54,18.75,0.412,0
16,3,512,262144,6.0000,400,35062.22,732.72,3199.04,18.75,0.723,0
16,3,512,262144,8.0000,400,48774.72,842.09,8451.54,18.75,1.940,0
16,3,512,262144,10.0000,400,64537.22,913.09,17231.54,18.75,3.737,0
16,2,512,262144,0.0000,400,259.72,259.72,285.93,12.50,0.000,0
16,2,512,262144,0.2500,400,1532.22,325.34,293.43,12.50,0.003,0
16,2,512,262144,0.5000,400,2899.72,372.84,285.93,12.50,0.000,0
16,2,512,262144,1.0000,400,5597.22,430.59,343.43,12.50,0.022,0
16,2,512,262144,1.5000,400,8079.72,508.59,530.93,12.50,0.083,0
16,2,512,262144,2.0000,400,11239.72,532.97,820.93,12.50,0.188,0
16,2,512,262144,3.0000,400,17017.22,577.47,1618.43,12.50,0.458,0
16,2,512,262144,4.0000,400,22367.22,632.72,3595.93,12.50,1.097,0
16,2,512,262144,5.0000,400,28729.72,685.47,5725.93,12.50,1.742,0
16,2,512,262144,6.0000,400,35102.22,751.84,9680.93,12.50,2.880,0
16,2,512,262144,8.0000,400,48879.72,825.22,19780.93,12.50,5.537,0
16,2,512,262144,10.0000,400,64872.22,909.47,33250.93,12.50,8.525,0
